feature_set	domain_1	domain_2	statistic	p_value
all	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
all	arxiv_papers	cnn_news	0.0	1.4353779823948457e-34
all	arxiv_papers	euro_court_cases	7109.0	0.0009732558791222307
all	arxiv_papers	house_of_commons	0.0	1.435276902943793e-34
all	arxiv_papers	student_essays	394.0	4.8342195728438625e-32
all	arxiv_papers	all	0.0	1.4361261857789638e-34
all	blog_authorship_corpus	cnn_news	0.0	1.4361464127613523e-34
all	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
all	blog_authorship_corpus	house_of_commons	0.0	1.4361464127613523e-34
all	blog_authorship_corpus	student_essays	0.0	1.4361464127613523e-34
all	blog_authorship_corpus	all	0.0	1.4361464127613523e-34
all	cnn_news	euro_court_cases	0.0	1.4359441554188707e-34
all	cnn_news	house_of_commons	9080.0	0.23658527135224028
all	cnn_news	student_essays	1146.0	1.7034604148154243e-27
all	cnn_news	all	0.0	1.4361464127613523e-34
all	euro_court_cases	house_of_commons	0.0	1.435964379905014e-34
all	euro_court_cases	student_essays	663.0	2.2520424141029285e-30
all	euro_court_cases	all	0.0	1.4361464127613523e-34
all	house_of_commons	student_essays	3367.0	3.509231753143942e-16
all	house_of_commons	all	0.0	1.4361464127613523e-34
all	student_essays	all	0.0	1.4361464127613523e-34
syntax	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
syntax	arxiv_papers	cnn_news	0.0	1.4361261857789638e-34
syntax	arxiv_papers	euro_court_cases	8475.0	0.05463465909735907
syntax	arxiv_papers	house_of_commons	2.0	1.4799758643377103e-34
syntax	arxiv_papers	student_essays	0.0	1.4361464127613523e-34
syntax	arxiv_papers	all	0.0	1.4361464127613523e-34
syntax	blog_authorship_corpus	cnn_news	0.0	1.4361464127613523e-34
syntax	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
syntax	blog_authorship_corpus	house_of_commons	0.0	1.4361464127613523e-34
syntax	blog_authorship_corpus	student_essays	0.0	1.4361464127613523e-34
syntax	blog_authorship_corpus	all	0.0	1.4361464127613523e-34
syntax	cnn_news	euro_court_cases	0.0	1.4361261857789638e-34
syntax	cnn_news	house_of_commons	863.0	3.6541551384395046e-29
syntax	cnn_news	student_essays	2500.0	3.192554736612467e-20
syntax	cnn_news	all	0.0	1.4361464127613523e-34
syntax	euro_court_cases	house_of_commons	0.0	1.4361464127613523e-34
syntax	euro_court_cases	student_essays	0.0	1.4361464127613523e-34
syntax	euro_court_cases	all	0.0	1.4361464127613523e-34
syntax	house_of_commons	student_essays	0.0	1.4361464127613523e-34
syntax	house_of_commons	all	0.0	1.4361464127613523e-34
syntax	student_essays	all	0.0	1.4361464127613523e-34
readability	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
readability	arxiv_papers	cnn_news	1.0	1.4579385692155708e-34
readability	arxiv_papers	euro_court_cases	2869.0	1.917446613079465e-18
readability	arxiv_papers	house_of_commons	4770.0	1.1752201109551581e-10
readability	arxiv_papers	student_essays	0.0	1.4361464127613523e-34
readability	arxiv_papers	all	0.0	1.4361464127613523e-34
readability	blog_authorship_corpus	cnn_news	0.0	1.4361464127613523e-34
readability	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
readability	blog_authorship_corpus	house_of_commons	0.0	1.4361464127613523e-34
readability	blog_authorship_corpus	student_essays	0.0	1.4361464127613523e-34
readability	blog_authorship_corpus	all	0.0	1.4361464127613523e-34
readability	cnn_news	euro_court_cases	0.0	1.4361464127613523e-34
readability	cnn_news	house_of_commons	0.0	1.4361464127613523e-34
readability	cnn_news	student_essays	5893.0	3.931447036413381e-07
readability	cnn_news	all	0.0	1.4361464127613523e-34
readability	euro_court_cases	house_of_commons	1.0	1.4579385692155708e-34
readability	euro_court_cases	student_essays	0.0	1.4361464127613523e-34
readability	euro_court_cases	all	0.0	1.4361464127613523e-34
readability	house_of_commons	student_essays	0.0	1.4361464127613523e-34
readability	house_of_commons	all	0.0	1.4361464127613523e-34
readability	student_essays	all	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	cnn_news	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	euro_court_cases	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	house_of_commons	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	student_essays	0.0	1.4361464127613523e-34
reading_time	arxiv_papers	all	0.0	1.4361464127613523e-34
reading_time	blog_authorship_corpus	cnn_news	0.0	1.4361464127613523e-34
reading_time	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
reading_time	blog_authorship_corpus	house_of_commons	0.0	1.4361464127613523e-34
reading_time	blog_authorship_corpus	student_essays	6755.0	5.808442597105786e-05
reading_time	blog_authorship_corpus	all	8676.0	0.09363758931090264
reading_time	cnn_news	euro_court_cases	0.0	1.4361464127613523e-34
reading_time	cnn_news	house_of_commons	85.0	5.138642393323686e-34
reading_time	cnn_news	student_essays	0.0	1.4361464127613523e-34
reading_time	cnn_news	all	0.0	1.4361464127613523e-34
reading_time	euro_court_cases	house_of_commons	7.0	1.5957644233059737e-34
reading_time	euro_court_cases	student_essays	0.0	1.4361464127613523e-34
reading_time	euro_court_cases	all	0.0	1.4361464127613523e-34
reading_time	house_of_commons	student_essays	0.0	1.4361464127613523e-34
reading_time	house_of_commons	all	0.0	1.4361464127613523e-34
reading_time	student_essays	all	5915.0	4.525647768674778e-07
structure	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
structure	arxiv_papers	cnn_news	0.0	1.4361464127613523e-34
structure	arxiv_papers	euro_court_cases	0.0	1.4361464127613523e-34
structure	arxiv_papers	house_of_commons	0.0	1.4361464127613523e-34
structure	arxiv_papers	student_essays	0.0	1.4361464127613523e-34
structure	arxiv_papers	all	0.0	1.4361464127613523e-34
structure	blog_authorship_corpus	cnn_news	0.0	1.4361464127613523e-34
structure	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
structure	blog_authorship_corpus	house_of_commons	5.0	1.5484416002283044e-34
structure	blog_authorship_corpus	student_essays	0.0	1.4361464127613523e-34
structure	blog_authorship_corpus	all	0.0	1.4361464127613523e-34
structure	cnn_news	euro_court_cases	0.0	1.4361464127613523e-34
structure	cnn_news	house_of_commons	9240.0	0.32298721519835405
structure	cnn_news	student_essays	4487.0	1.1385102623997011e-11
structure	cnn_news	all	9147.0	0.2705426839043077
structure	euro_court_cases	house_of_commons	1778.0	5.9178488412059365e-24
structure	euro_court_cases	student_essays	7098.0	0.0003158483813979605
structure	euro_court_cases	all	0.0	1.4361464127613523e-34
structure	house_of_commons	student_essays	1447.0	8.905193983666568e-26
structure	house_of_commons	all	8998.0	0.19927528705410114
structure	student_essays	all	4779.0	1.2633662085391647e-10
information_theoretic	arxiv_papers	blog_authorship_corpus	0.0	1.4361464127613523e-34
information_theoretic	arxiv_papers	cnn_news	0.0	1.4361464127613523e-34
information_theoretic	arxiv_papers	euro_court_cases	0.0	1.4361261857789638e-34
information_theoretic	arxiv_papers	house_of_commons	0.0	1.4360857326463014e-34
information_theoretic	arxiv_papers	student_essays	0.0	1.4361464127613523e-34
information_theoretic	arxiv_papers	all	0.0	1.4361464127613523e-34
information_theoretic	blog_authorship_corpus	cnn_news	1625.0	8.678719963826616e-25
information_theoretic	blog_authorship_corpus	euro_court_cases	0.0	1.4361464127613523e-34
information_theoretic	blog_authorship_corpus	house_of_commons	0.0	1.4361464127613523e-34
information_theoretic	blog_authorship_corpus	student_essays	0.0	1.4361464127613523e-34
information_theoretic	blog_authorship_corpus	all	3286.0	1.541684984469675e-16
information_theoretic	cnn_news	euro_court_cases	8526.0	0.06295072577400616
