comparison_type	register	group1	group2	feature	jsd_contribution	welch_p	welch_p_fdr
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	ADJ	0.000672557139667066	3.130164145425906e-148	1.4966097320317613e-147
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	ADP	4.3713013272042014e-05	0.00031607032319684	0.0004098199953314959
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	ADV	6.09749756022202e-05	0.0013179615970474803	0.0016734284178279212
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	AUX	0.0005862691038454378	1.8437045145118656e-108	6.637336252242716e-108
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	CCONJ	0.00015930005235319494	1.3081620856534818e-34	2.6865610618118485e-34
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	DET	0.00028483183634270357	2.305424255944511e-87	7.198569615500209e-87
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	INTJ	2.1604837092956263e-06	2.6300289479842775e-08	3.760695598519574e-08
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	NOUN	0.0005006385807217253	5.2764017342253535e-114	1.968998695942632e-113
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	NUM	0.0007787235538971355	1.4758127758607986e-103	4.962623180367081e-103
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	PART	3.8077113066149537e-07	4.3998679138175614e-14	6.939997843444195e-14
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	PRON	3.620864121068733e-05	1.216153536713397e-18	2.1025027244875673e-18
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	PROPN	0.001192877653845686	1.0152058987928382e-29	1.941581281441303e-29
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	PUNCT	0.00018945174157552515	2.3443648358333195e-15	3.736331457109353e-15
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	SCONJ	1.0092791794546444e-05	5.902100195456732e-16	9.657982138020105e-16
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	SYM	0.00018145301554193692	0.0034340775163169595	0.004271657398345486
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	VERB	0.0006205297588934809	4.507238793425793e-87	1.3931465361497905e-86
same_register_agents	arxiv_papers	gemma2_9b	gpt-4o-mini	X	0.0019277544502991812	1.7635821646720474e-11	2.671565061334884e-11
same_register_agents	arxiv_papers	gemma2_9b	human	ADJ	0.007530282027859162	0.0	0.0
same_register_agents	arxiv_papers	gemma2_9b	human	ADP	0.0007148042665049217	1.4627752707325594e-116	5.738579908258503e-116
same_register_agents	arxiv_papers	gemma2_9b	human	ADV	2.003606705754308e-05	3.3672682506287317e-09	4.883336894276739e-09
same_register_agents	arxiv_papers	gemma2_9b	human	AUX	0.0007760365142372378	4.464052565967613e-139	1.979710268385637e-138
same_register_agents	arxiv_papers	gemma2_9b	human	CCONJ	0.0008287456398642268	3.4410937776752114e-285	2.8458775566719317e-284
same_register_agents	arxiv_papers	gemma2_9b	human	DET	0.0002602954890714689	1.561890644876881e-40	3.3657643474107437e-40
same_register_agents	arxiv_papers	gemma2_9b	human	INTJ	0.0005130698585877653	4.2495919728482383e-23	7.786677507135096e-23
same_register_agents	arxiv_papers	gemma2_9b	human	NOUN	0.0034766759085042495	0.0	0.0
same_register_agents	arxiv_papers	gemma2_9b	human	NUM	0.018035488228621784	3.149229313096e-312	2.834306381786e-311
same_register_agents	arxiv_papers	gemma2_9b	human	PART	0.0002173861642964681	3.40254780005321e-64	8.749408628708255e-64
same_register_agents	arxiv_papers	gemma2_9b	human	PRON	4.326640895469804e-05	2.5269872595212586e-35	5.260259193289151e-35
same_register_agents	arxiv_papers	gemma2_9b	human	PROPN	0.011468642009759233	8.486488363583975e-286	7.213515109046379e-285
same_register_agents	arxiv_papers	gemma2_9b	human	PUNCT	0.004337429270237978	2.7930446264505673e-269	2.1366791392346837e-268
same_register_agents	arxiv_papers	gemma2_9b	human	SCONJ	7.559503030666118e-05	1.3945186897164982e-34	2.8448181270216567e-34
same_register_agents	arxiv_papers	gemma2_9b	human	SYM	0.0028056501780957324	1.7628460883219615e-79	5.137437171681145e-79
same_register_agents	arxiv_papers	gemma2_9b	human	VERB	0.0057336964734965145	0.0	0.0
same_register_agents	arxiv_papers	gemma2_9b	human	X	0.003345842372911017	1.0328041713023294e-31	2.0129813784618654e-31
same_register_agents	arxiv_papers	gpt-4o-mini	human	ADJ	0.0037370199297966054	0.0	0.0
same_register_agents	arxiv_papers	gpt-4o-mini	human	ADP	0.0011112844217889507	6.860854758444941e-122	2.875919939841304e-121
same_register_agents	arxiv_papers	gpt-4o-mini	human	ADV	0.00015082435565892975	1.6767316582186987e-15	2.6862821330624175e-15
same_register_agents	arxiv_papers	gpt-4o-mini	human	AUX	1.3426116623167263e-05	1.46895461369142e-07	2.081019036062845e-07
same_register_agents	arxiv_papers	gpt-4o-mini	human	CCONJ	0.00026265363660199405	6.810944439708602e-115	2.6381632893048506e-114
same_register_agents	arxiv_papers	gpt-4o-mini	human	DET	0.0010883535470073173	9.65761054637553e-169	5.277194334269486e-168
same_register_agents	arxiv_papers	gpt-4o-mini	human	INTJ	0.00045779050745620013	0.037893527113151734	0.044257325559635234
same_register_agents	arxiv_papers	gpt-4o-mini	human	NOUN	0.0013409627759131907	8.431659955391603e-74	2.283263669336133e-73
same_register_agents	arxiv_papers	gpt-4o-mini	human	NUM	0.011769920017948098	1.0512085663077412e-270	8.247944135645354e-270
same_register_agents	arxiv_papers	gpt-4o-mini	human	PART	0.0002358882591739751	1.8049686001211683e-80	5.31077299651036e-80
same_register_agents	arxiv_papers	gpt-4o-mini	human	PRON	0.00015853777690674016	1.0184712609495109e-70	2.7337912793907925e-70
same_register_agents	arxiv_papers	gpt-4o-mini	human	PROPN	0.005397464967029983	1.024009589091497e-218	6.666956048127618e-218
same_register_agents	arxiv_papers	gpt-4o-mini	human	PUNCT	0.002719138247756988	1.2948390287698714e-218	8.25459880840793e-218
same_register_agents	arxiv_papers	gpt-4o-mini	human	SCONJ	3.0468633989824852e-05	2.8623043452992437e-06	3.9631906319527994e-06
same_register_agents	arxiv_papers	gpt-4o-mini	human	SYM	0.0015890201813220524	2.9661495848430853e-74	8.176952909567424e-74
same_register_agents	arxiv_papers	gpt-4o-mini	human	VERB	0.002601718356570599	0.0	0.0
same_register_agents	arxiv_papers	gpt-4o-mini	human	X	0.00021415870529314582	0.3073623462133645	0.3232057661212699
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	ADJ	0.00020549306684175192	1.772521475347648e-05	2.421390944001698e-05
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	ADP	4.257180194930854e-05	0.030088910350243175	0.03541233295067082
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	ADV	0.0003206016959515527	1.2395516989088058e-14	1.9652995847984175e-14
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	AUX	2.7445568043873514e-05	0.1886020684079584	0.20611511761726883
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	CCONJ	1.3552721531490271e-05	1.3012841218651297e-05	1.785618570810447e-05
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	DET	0.0002460543552348523	4.475607079303693e-19	7.825918664382458e-19
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	INTJ	9.37517218162745e-05	0.1215247068012046	0.13824000104523645
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	NOUN	1.5023157305455196e-05	0.1348296803665382	0.1511277735976582
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	NUM	5.5044318322106816e-05	0.6357560171770973	0.6463167483594411
same_register_agents	blog_authorship_corpus	gemma2_9b	gpt-4o-mini	PART	1.3126071486825434e-06	0.07383684361227351	0.08526065715228563
